Solucion:
Valor Objetivo Z = 974.3734584102796
Asignacion de Variables
x1 = 0.0
x2 = 6.704851501259127
x3 = 0.0
x4 = 0.0
x5 = 11.04587506941305
x6 = 0.0
x7 = 0.0
x8 = 0.0
x9 = 0.0
x10 = 0.0
x11 = 0.0
x12 = 0.0
x13 = 0.0
x14 = 0.0
x15 = 0.0
x16 = 0.0
x17 = 0.0
x18 = 0.0
x19 = 9.528521108026089
x20 = 0.0
x21 = 0.0
x22 = 0.0
x23 = 0.0
x24 = 0.0
x25 = 0.0
x26 = 0.0
x27 = 0.0
x28 = 0.0
x29 = 0.0
x30 = 0.0
x31 = 0.0
x32 = 0.7894670885258583
x33 = 0.0
x34 = 0.0
x35 = 0.0
x36 = 0.0
x37 = 11.10071487053658
x38 = 0.0
x39 = 0.0
x40 = 0.0
x41 = 0.0
x42 = 0.0
x43 = 0.0
