Solucion:
Valor Objetivo Z = 637.1948711102959
Asignacion de Variables
x1 = 0.0
x2 = 0.0
x3 = 2.251847127368239
x4 = 0.0
x5 = 0.0
x6 = 0.0
x7 = 0.0
x8 = 0.0
x9 = 0.0
x10 = 0.0
x11 = 0.5965378720246425
x12 = 0.0
x13 = 0.0
x14 = 0.0
x15 = 1.7769264728461411
x16 = 0.0
x17 = 0.0
x18 = 0.0
x19 = 0.0
x20 = 0.0
x21 = 0.0
x22 = 0.0
x23 = 0.0
x24 = 0.0
x25 = 0.0
x26 = 0.0
x27 = 0.0
x28 = 0.0
x29 = 0.0
x30 = 0.0
x31 = 0.0
x32 = 0.8386276651028134
x33 = 0.0
x34 = 1.7755815466952798
x35 = 0.0
x36 = 0.0
x37 = 0.0
x38 = 0.0
x39 = 0.0
x40 = 0.0
x41 = 0.0
